numero_obra;numero_exemplar;numero_legado;ordem_estante;secao;grupo_autor_espiritual;codigo_autor;titulo;autor_espiritual;medium;tipo_obra;colecao;categorias;idioma;editora;sinopse;historico
"22";"22.2";"816";"817";"ROM";"André Luiz";"ALU";"Evolução em dois mundos";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 816 · Ordem estante (Table 2): 817 · Obra nº 22 · Exemplares da mesma obra: 776, 816, 817"
"22";"22.3";"817";"817";"ROM";"André Luiz";"ALU";"Evolução em dois mundos";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 817 · Ordem estante (Table 2): 817 · Obra nº 22 · Exemplares da mesma obra: 776, 816, 817"
"23";"23.1";"574";"1031";"ROM";"André Luiz";"ALU";"Libertação";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 574 · Ordem estante (Table 2): 1031 · Obra nº 23 · Exemplares da mesma obra: 574, 813, 814, 874, 965, 1031"
"23";"23.2";"813";"1031";"ROM";"André Luiz";"ALU";"Libertação";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 813 · Ordem estante (Table 2): 1031 · Obra nº 23 · Exemplares da mesma obra: 574, 813, 814, 874, 965, 1031"
"23";"23.3";"814";"1031";"ROM";"André Luiz";"ALU";"Libertação";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 814 · Ordem estante (Table 2): 1031 · Obra nº 23 · Exemplares da mesma obra: 574, 813, 814, 874, 965, 1031"
"23";"23.4";"874";"1031";"ROM";"André Luiz";"ALU";"Libertação";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 874 · Ordem estante (Table 2): 1031 · Obra nº 23 · Exemplares da mesma obra: 574, 813, 814, 874, 965, 1031"
"23";"23.5";"965";"1031";"ROM";"André Luiz";"ALU";"Libertação";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 965 · Ordem estante (Table 2): 1031 · Obra nº 23 · Exemplares da mesma obra: 574, 813, 814, 874, 965, 1031"
"23";"23.6";"1031";"1031";"ROM";"André Luiz";"ALU";"Libertação";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1031 · Ordem estante (Table 2): 1031 · Obra nº 23 · Exemplares da mesma obra: 574, 813, 814, 874, 965, 1031"
"24";"24.1";"803";"964";"ROM";"André Luiz";"ALU";"Mecanismo da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 803 · Ordem estante (Table 2): 964 · Obra nº 24 · Exemplares da mesma obra: 803, 804, 865, 964"
"24";"24.2";"804";"964";"ROM";"André Luiz";"ALU";"Mecanismo da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 804 · Ordem estante (Table 2): 964 · Obra nº 24 · Exemplares da mesma obra: 803, 804, 865, 964"
"24";"24.3";"865";"964";"ROM";"André Luiz";"ALU";"Mecanismo da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 865 · Ordem estante (Table 2): 964 · Obra nº 24 · Exemplares da mesma obra: 803, 804, 865, 964"
"24";"24.4";"964";"964";"ROM";"André Luiz";"ALU";"Mecanismo da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 964 · Ordem estante (Table 2): 964 · Obra nº 24 · Exemplares da mesma obra: 803, 804, 865, 964"
"25";"25";"919";"919";"ROM";"André Luiz";"ALU";"Missionários da Luz";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 919 · Ordem estante (Table 2): 919 · Obra nº 25"
"26";"26.1";"805";"967";"ROM";"André Luiz";"ALU";"No Mundo Maior";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 805 · Ordem estante (Table 2): 967 · Obra nº 26 · Exemplares da mesma obra: 805, 806, 967"
"26";"26.2";"806";"967";"ROM";"André Luiz";"ALU";"No Mundo Maior";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 806 · Ordem estante (Table 2): 967 · Obra nº 26 · Exemplares da mesma obra: 805, 806, 967"
"26";"26.3";"967";"967";"ROM";"André Luiz";"ALU";"No Mundo Maior";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 967 · Ordem estante (Table 2): 967 · Obra nº 26 · Exemplares da mesma obra: 805, 806, 967"
"27";"27.1";"476";"1011";"ROM";"André Luiz";"ALU";"Nos Dominios da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 476 · Ordem estante (Table 2): 1011 · Obra nº 27 · Exemplares da mesma obra: 476, 754, 818, 824, 832, 837, 999, 1011"
"27";"27.2";"754";"1011";"ROM";"André Luiz";"ALU";"Nos Dominios da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 754 · Ordem estante (Table 2): 1011 · Obra nº 27 · Exemplares da mesma obra: 476, 754, 818, 824, 832, 837, 999, 1011"
"27";"27.3";"818";"1011";"ROM";"André Luiz";"ALU";"Nos Dominios da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 818 · Ordem estante (Table 2): 1011 · Obra nº 27 · Exemplares da mesma obra: 476, 754, 818, 824, 832, 837, 999, 1011"
"27";"27.4";"824";"1011";"ROM";"André Luiz";"ALU";"Nos Dominios da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 824 · Ordem estante (Table 2): 1011 · Obra nº 27 · Exemplares da mesma obra: 476, 754, 818, 824, 832, 837, 999, 1011"
"27";"27.5";"832";"1011";"ROM";"André Luiz";"ALU";"Nos Dominios da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 832 · Ordem estante (Table 2): 1011 · Obra nº 27 · Exemplares da mesma obra: 476, 754, 818, 824, 832, 837, 999, 1011"
"27";"27.6";"837";"1011";"ROM";"André Luiz";"ALU";"Nos Dominios da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 837 · Ordem estante (Table 2): 1011 · Obra nº 27 · Exemplares da mesma obra: 476, 754, 818, 824, 832, 837, 999, 1011"
"27";"27.7";"999";"1011";"ROM";"André Luiz";"ALU";"Nos Dominios da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 999 · Ordem estante (Table 2): 1011 · Obra nº 27 · Exemplares da mesma obra: 476, 754, 818, 824, 832, 837, 999, 1011"
"27";"27.8";"1011";"1011";"ROM";"André Luiz";"ALU";"Nos Dominios da Mediunidade";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1011 · Ordem estante (Table 2): 1011 · Obra nº 27 · Exemplares da mesma obra: 476, 754, 818, 824, 832, 837, 999, 1011"
"28";"28.1";"417";"417";"ROM";"André Luiz";"ALU";"Nosso Lar";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 417 · Ordem estante (Table 2): 417 · Obra nº 28 · Exemplares da mesma obra: 417, 827"
"28";"28.2";"827";"417";"ROM";"André Luiz";"ALU";"Nosso Lar";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 827 · Ordem estante (Table 2): 417 · Obra nº 28 · Exemplares da mesma obra: 417, 827"
"29";"29.1";"1013";"1013";"ROM";"André Luiz";"ALU";"Obreiros da Vida Eterna";"Andre Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1013 · Ordem estante (Table 2): 1013 · Obra nº 29 · Exemplares da mesma obra: 1013, 1142"
"29";"29.2";"1142";"1142";"ROM";"André Luiz";"ALU";"Obreiros da Vida Eterna";"Andre Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1142 · Ordem estante (Table 2): 1142 · Obra nº 29 · Exemplares da mesma obra: 1013, 1142"
"30";"30.1";"400";"875";"ROM";"André Luiz";"ALU";"Os Mensageiros";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 400 · Ordem estante (Table 2): 875 · Obra nº 30 · Exemplares da mesma obra: 400, 801, 815, 875"
"30";"30.2";"801";"875";"ROM";"André Luiz";"ALU";"Os Mensageiros";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 801 · Ordem estante (Table 2): 875 · Obra nº 30 · Exemplares da mesma obra: 400, 801, 815, 875"
"30";"30.3";"815";"875";"ROM";"André Luiz";"ALU";"Os Mensageiros";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 815 · Ordem estante (Table 2): 875 · Obra nº 30 · Exemplares da mesma obra: 400, 801, 815, 875"
"30";"30.4";"875";"875";"ROM";"André Luiz";"ALU";"Os Mensageiros";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 875 · Ordem estante (Table 2): 875 · Obra nº 30 · Exemplares da mesma obra: 400, 801, 815, 875"
"31";"31";"528";"528";"ROM";"André Luiz";"ALU";"Respostas da Vida";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 528 · Ordem estante (Table 2): 528 · Obra nº 31"
"32";"32.1";"894";"1041";"ROM";"André Luiz";"ALU";"Sexo e destino";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 894 · Ordem estante (Table 2): 1041 · Obra nº 32 · Exemplares da mesma obra: 894, 959, 1041"
"32";"32.2";"959";"1041";"ROM";"André Luiz";"ALU";"Sexo e destino";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 959 · Ordem estante (Table 2): 1041 · Obra nº 32 · Exemplares da mesma obra: 894, 959, 1041"
"32";"32.3";"1041";"1041";"ROM";"André Luiz";"ALU";"Sexo e destino";"André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1041 · Ordem estante (Table 2): 1041 · Obra nº 32 · Exemplares da mesma obra: 894, 959, 1041"
"33";"33";"682";"682";"ROM";"André Luiz";"ALU";"Sol Nas Almas";"André Luiz";"Waldo Vieira";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 682 · Ordem estante (Table 2): 682 · Obra nº 33"
"34";"34";"190";"190";"ROM";"André Luiz";"ALU";"Estude e Viva";"André Luiz / Emmanuel";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 190 · Ordem estante (Table 2): 190 · Obra nº 34"
"35";"35";"298";"298";"ROM";"André Luiz";"ALU";"Cidade do Alem";"André Luiz / Lúcius";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 298 · Ordem estante (Table 2): 298 · Obra nº 35"
"36";"36";"1057";"1057";"ROM";"André Luiz";"ALU";"Cidade no Além";"André Luiz e Lúcius";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1057 · Ordem estante (Table 2): 1057 · Obra nº 36"
"37";"37";"87";"87";"ROM";"André Luiz";"ALU";"Opinião Espírita";"Emmanuel e André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 87 · Ordem estante (Table 2): 87 · Obra nº 37"
"38";"38";"1046";"1046";"ROM";"André Luiz";"ALU";"Missionário da Luz";"esp. - André Luiz";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 1046 · Ordem estante (Table 2): 1046 · Obra nº 38"
"39";"39";"547";"547";"ROM";"André Luiz";"ALU";"Ação e Reação";"Francisco C. Xavier / André Luiz";"";"PSYCHOGRAPHED";"Série André Luiz";"Romance Espírita, Série André Luiz";"Português";"";"";"Nº legado deste exemplar: 547 · Ordem estante (Table 2): 547 · Obra nº 39"
"40";"40";"478";"478";"ROM";"Camilo";"CAM";"Correnteza de Luz";"Camilo";"J. Raul Teixeira";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 478 · Ordem estante (Table 2): 478 · Obra nº 40"
"41";"41";"663";"663";"ROM";"Camilo";"CAM";"Revelações da Luz";"Camilo";"J. Raul Teixeira";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 663 · Ordem estante (Table 2): 663 · Obra nº 41"
"42";"42";"909";"909";"ROM";"Camilo";"CAM";"Desafio da Educação";"Camilo";"J. Raul Teixeiras";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 909 · Ordem estante (Table 2): 909 · Obra nº 42"
"43";"43";"928";"928";"ROM";"Camilo";"CAM";"A Carta Magna da Paz";"Camilo";"José Raul Teixeira";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 928 · Ordem estante (Table 2): 928 · Obra nº 43"
"44";"44";"164";"164";"ROM";"Camilo";"CAM";"Desafio da Vida Familiar";"Camilo";"José Raul Teixeira";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 164 · Ordem estante (Table 2): 164 · Obra nº 44"
"45";"45";"166";"166";"ROM";"Camilo";"CAM";"Desafios da Educação";"Camilo";"José Raul Teixeira";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 166 · Ordem estante (Table 2): 166 · Obra nº 45"
